venue_id,name,address,city,country,capacity,latitude,longitude
21968,Skyline Roofing Stadium,"Chestnut Avenue, Northwood, Hillingdon",London,England,3075,,
10622,Athletic Field,"Winterfield Road, Paulton","Paulton, Somerset",England,2200,,
5246,Phoenix Sports FC Ground,Mayplace Road East,"Bexleyheath, Kent",England,1000,,
5247,Mill Lane,Mill Lane,"Pickering, North Yorkshire",England,2000,,
21969,The Hunters Stadium,Skinner Lane,"Pontefract, West Yorkshire",England,1429,,
12283,The Bourne Stadium,192A Seal Road,"Sevenoaks, Kent",England,1000,,
10623,Woodstock Park,Broadoak Road,"Sittingbourne, Kent",England,1200,,
5251,King George's Field,"Whitehall Lane, South Park","Reigate, Surrey",England,700,,
5252,Bracken Moor,Bracken Moor Lane,"Stocksbridge, South Yorkshire",England,3500,53.4769834,-1.5879878
5253,Central Ground,Coles Lane,"Sutton Coldfield, West Midlands",England,2000,52.5572947,-1.8191742
5254,Waterside Park,Chamberhouse Mill Lane,"Thatcham, Berkshire",England,1500,51.3913762,-1.2423924
5255,Chadfields,St. Chads Road,"Tilbury, Essex",England,4000,51.4701508,0.3633170
20130,Tooting & Mitcham Community Sports Club,Bishopsford Road,"Morden, Surrey",England,3500,,
5257,Honeycroft,"Horton Road, West Drayton",London,England,3770,,
5258,The Oakwood,Old Road,"Crayford, Kent",England,1400,,
5259,Capershotts,Sewardstone,"Waltham Abbey, Essex",England,3500,,
5260,Alfredian Park,,"Wantage, Oxfordshire",England,1500,,
5261,Woking Park,Westfield,"Woking, Surrey",England,1000,51.3103406,-0.5570385
5262,Church Road,Church Road,"Whyteleafe, Surrey",England,2000,,
5263,The Stan Robinson Stadium,Silver Street,"Willand, Devon",England,1000,,
5264,Simarco Stadium,Spa Road,"Witham, Essex",England,2500,,
5265,Borough Park,New Bridge Road,"Workington, Cumbria",England,3101,,
19723,Windsor Foodservice Stadium,Babbage Way / Sandy Lane,"Worksop, Nottinghamshire",England,3200,,
10624,Leading Drove,Leading Drove,"Yaxley, Cambridgeshire",England,1500,,
5477,Creasey Park Community Football Centre,Creasey Park Drive,"Dunstable, Bedfordshire",England,3200,51.8923999,-0.5392239
5478,Hillgrounds Leisure,"Hillgrounds Leisure, Hillgrounds Road","Kempston, Bedfordshire",England,2000,,
10625,Snows Stadium,Salisbury Road,"Totton, Hampshire",England,3500,,
5480,The Robert Parker Stadium,Short Lane,"Stanwell, Surrey",England,2550,,
5481,Sharpenhoe Road,Sharpenhoe Road,"Barton-Le-Clay, Bedfordshire",England,4000,,
19956,Charters Community Stadium,Hillier Way,"Winchester, Hampshire",England,4500,,
5483,The New Eyrie,Meadow Lane,"Cardington, Bedfordshire",England,4000,,
21322,Raygar Stadium,Bridge Street,"Belper, Derbyshire",England,2650,,
19957,The SB Stadium,2 Old Forge End,"Sandhurst, Berkshire",England,1950,,
5487,The Yorkshire Payments Stadium,St Giles Road,"Brighouse, West Yorkshire",England,800,,
5488,The Creek,Portway,Bristol,England,2000,51.4815538,-2.6507140
18813,Atalian Servest Stadium,Cotton Lane,"Bury St Edmunds, Suffolk",England,3500,,
22013,The Steves Taxis Stadium,Park Lane,"Canvey Island, Essex",England,4308,,
10615,Bill Stokeld Stadium,"Stoke Lane, Gedling, Carlton","Nottingham, East Midlands",England,600,52.9710071,-1.0623298
5492,Mill Meadow,Gravel Hill,"Chalfont St Peter, Buckinghamshire",England,1500,,
5493,The Scholars Ground,"Church Street, Chasetown","Burntwood, Staffordshire",England,2000,,
5494,Alwyns Lane Football Ground,Alwyns Lane,"Chertsey, Surrey",England,2500,,
5495,Oaklands Park,Oaklands Way,"Chichester, West Sussex",England,2000,50.8426765,-0.7753862
5496,The Corinium Stadium,Kingshill Lane,"Cirencester, Gloucestershire",England,4500,51.7118210,-1.9452911
21970,DCBL Stadium,Lowerhouse Lane,"Widnes, Cheshire",England,13350,,
12045,The myenergi Stadium,Clee Road,"Grimsby, Lincolnshire",England,1000,,
21971,The Loom Loft Stadium,off Pendle Road,"Clitheroe, Lancashire",England,2000,,
5500,West Street,West Street,"Coggeshall, Essex",England,1000,,
5501,Pack Meadow,Packington Lane,"Coleshill, Warwickshire",England,2070,,
21323,Haffners Stadium,"Holt House, Harrison Drive","Colne, Lancashire",England,1800,,
20432,The Artic Stadium,"Middle Park Avenue, Eltham",London,England,1000,,
5504,Communications Park,Browns Road,"Daventry, Northamptonshire",England,5000,52.2572460,-1.1896145
5505,Aldiss Park,,"Dereham, Norfolk",England,3000,,
5506,UTS Stadium,"Wellington Road, Dunston","Gateshead, Tyne and Wear",England,2500,,
5507,The Spiers & Hartwell Jubilee Stadium,Cheltenham Road,"Evesham, Worcestershire",England,2000,,
10626,Salters Lane,Salters Lane,"Faversham, Kent",England,2000,,
20875,AGL Arena,Dellwood Avenue,"Felixstowe, Suffolk",England,2000,,
5510,Westfield Lane Stadium,Westfield Lane,"South Elmsall, West Yorkshire",England,2087,,
5511,The Grove,Old Hawne Lane,"Halesowen, West Midlands",England,5000,52.4538788,-2.0576200
5512,The Powerday Stadium,"Perivale, Borough of Ealing",London,England,2000,,
11678,McCulloch's Stadium,Roydon Road / Off Elizabeth Way,"Harlow, Essex",England,3500,,
5514,Hanbury Park,3 Allen Road,Haywards Heath,England,5000,,
5515,Hertingfordbury Park,West Street,"Hertford, Hertfordshire",England,6500,51.7917031,-0.0883369
5516,Lower Road,Lower Road,Hullbridge,England,1000,,
5517,Yarnton Road,Yarnton Road,"Kidlington, Oxfordshire",England,1500,51.8164615,-1.2917515
10617,Autonet Insurance Stadium,Hollinwood Road,"Kidsgrove, Staffordshire",England,2000,,
5519,Sun Hat Villas & Resorts Stadium,Ashby Avenue,"Lincoln, Lincolnshire",England,2200,,
5520,Nanpantan Sports Ground,Nanpantan Road,"Loughborough, Leicestershire",England,1500,,
21972,Drewitt-Barlow Stadium,Park Drive,"Maldon, Essex",England,2000,,
5522,Cossham Street Stadium,Cossham Street,"Mangotsfield, South Gloucestershire",England,2500,,
5523,The Marine Travel Arena,College Road,"Crosby, Merseyside",England,2800,,
5524,Alfred Davis Memorial Ground,Oak Tree Road,"Marlow, Buckinghamshire",England,1500,,
5525,GER Stadium,Mount Pleasant Avenue,"Marske-by-the-Sea, Redcar and Cleveland",England,2500,,
21973,The John Jenkins Stadium,Dover Road &amp; Moneyfields Avenue,"Portsmouth, Hampshire",England,2000,,
5527,Seel Park,Market Street,"Mossley, Greater Manchester",England,4000,,
5528,Eynsham Hall Park,Nursery Road,"North Leigh, Oxfordshire",England,426,,
10627,Ingfield Stadium,Prospect Road,"Ossett, West Yorkshire",England,2000,,
21324,The Auto Safety Centre Stadium,Eaton Street / Hope Street,"Prescot, Merseyside",England,3200,,
